営業担当,取扱会社種別,取扱事業所名,法人形態,顧客名,顧客名（カナ）,業種,会社規模,事業展開地域,取引拡大可能性,社歴,信頼性,所属部署,顧客担当者名,顧客住所,電話番号,メールアドレス,FAX
森山 仁尚,PA,北九州本社,（前）株式会社,仙台銘板,ハマサキ・ホールディング,運輸業・郵便業,,地域限定,,創業10年以上,,,,福岡県北九州市八幡西区竹末1-15-10,093-642-1716,,
森山 仁尚,PA,北九州本社,（後）株式会社,仙台銘板,フジツウコミュニケーションサービス,サービス業（他に分類されないもの）,,全国展開,,創業10年以上,,,,神奈川県横浜市西区みなとみらい4-4-5横浜アイマークプレイス,050-3163-9800,,045-641-3301
森山 仁尚,HC,北九州本社,（前）株式会社,仙台銘板,キュウソウ,運輸業・郵便業,,複数地域,,創業30年以上,,,,福岡県北九州市門司区新門司1-7-14,050-3163-8300,,
森山 仁尚,PA,北九州本社,（後）株式会社,仙台銘板,ダイイチコウウン,運輸業・郵便業,,地域限定,,創業30年以上,,,,福岡県北九州市若松区本町2-3-19NCわかまつ本社ビル3階,093-761-3135,,093-771-5773
森山 仁尚,PA,北九州本社,（前）株式会社,仙台銘板,サンリブ,卸売業・小売業,,複数地域,,創業30年以上,,,,福岡県北九州市若松区本町2-17-1ベイサイドプラザ若松2階,,,
森山 仁尚,HC,北九州本社,（前）株式会社,仙台銘板,アキツキ,,,,,,,,,福岡県北九州市小倉北区鋳物師町9-21,093-383-8370,,
森山 仁尚,HC,北九州本社,（後）株式会社,仙台銘板,ニッポンツウウン,運輸業・郵便業,,全国展開,,創業30年以上,,,,東京都千代田区神田和泉町2,03-5801-1111,,
森山 仁尚,PA,北九州本社,（前）株式会社,仙台銘板,マックスコム,サービス業（他に分類されないもの）,,全国展開,,創業10年以上,,,,東京都渋谷区代々木2-2-1小田急サザンタワー,03-6870-5800,,03-5358-2620
森山 仁尚,HC,北九州本社,（前）株式会社,仙台銘板,キョウワビケン,サービス業（他に分類されないもの）,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区砂津1-9-5,093-521-3122,,093-521-3199
森山 仁尚,PA,北九州本社,（前）株式会社,仙台銘板,ナフコ,卸売業・小売業,,全国展開,,創業30年以上,,,,福岡県北九州市小倉北区魚町2-6-10,093-521-5155,,093-521-1694
森山 仁尚,HC,北九州本社,（前）株式会社,仙台銘板,アラキコウギョウ,製造業,,地域限定,,創業10年以上,,,,福岡県北九州市八幡西区本城東4-14-1-108,093-601-3132,,093-601-3132
森山 仁尚,HC,北九州本社,（後）株式会社,仙台銘板,ハマテック,製造業,,複数地域,,創業10年以上,,,,福岡県直方市上新入2558-5,0949-23-8100,,0949-23-8099
森山 仁尚,PA,北九州本社,（後）株式会社,仙台銘板,エーダブリュピージャパン,サービス業（他に分類されないもの）,,全国展開,,創業10年以上,,,,東京都品川区東品川4-12-8品川シーサイドイーストタワー2階,03-5783-7873,,
森山 仁尚,PA,北九州本社,その他,仙台銘板,スズノネカイ,サービス業（他に分類されないもの）,,地域限定,,創業10年以上,,,,,,,
森山 仁尚,PA,北九州本社,（前）株式会社,仙台銘板,シンリョウ,製造業,,全国展開,,創業30年以上,,,,福岡県北九州市八幡西区黒崎3-9-22RISO黒崎駅前ビル,093-643-2777,,
森山 仁尚,HC,北九州本社,その他,仙台銘板,シュンジュウカイ,サービス業（他に分類されないもの）,,地域限定,,創業10年以上,,,,福岡県北九州市小倉南区曽根新田北３丁目２－１,093-474-2288,,093-474-2277
森山 仁尚,HC,北九州本社,（前）株式会社,仙台銘板,コウヨウショウカイ,運輸業・郵便業,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区原町2-2-14,093-581-3302,,093-581-3539
森山 仁尚,PA,北九州本社,（前）株式会社,仙台銘板,センダイメイバン,卸売業・小売業,,全国展開,,創業30年以上,,,,宮城県仙台市宮城野区中野5-8-5,022-388-7334,,022-388-7352
森山 仁尚,PA,北九州本社,（前）株式会社,仙台銘板,キュウシュウスーパーハウス,製造業,,複数地域,,創業30年以上,,,,福岡県北九州市戸畑区中原新町2-1北九州テクノセンター10階,093-873-2100,,093-873-2101
森山 仁尚,HC,北九州本社,（後）株式会社,仙台銘板,エスティケイテクノロジー,製造業,,複数地域,,創業30年以上,,,,大分県大分市大字三佐2468-10,097-527-2161,,097-522-3001
森山 仁尚,PA,北九州本社,（後）株式会社,仙台銘板,エスビーエンジニアリング,情報通信業,,全国展開,,創業10年以上,,,,東京都江東区豊洲5-6-52NBF豊洲キャナルフロント9階,,,
森山 仁尚,HC,北九州本社,（前）株式会社,仙台銘板,スピナ,不動産業・物品賃貸業,,地域限定,,創業30年以上,,,,福岡県北九州市八幡東区平野2-11-1,093-671-0344,,
森山 仁尚,HC,北九州本社,（前）株式会社,仙台銘板,サンワショウウン,運輸業・郵便業,,地域限定,,創業30年以上,,,,福岡県北九州市若松区本町1-14-14,093-751-7374,,
森山 仁尚,HC,北九州本社,（後）有限会社,仙台銘板,マルニシショウジ,,,地域限定,,創業10年以上,,,,福岡県北九州市小倉北区片野2-8‐3,,,
森山 仁尚,PA,北九州本社,（後）株式会社,仙台銘板,サイブガス,電気・ガス・熱供給・水道業,,複数地域,,創業30年以上,,,,福岡市博多区千代1-17-1,,,
