営業担当,取扱会社種別,仕事番号,取扱事業所名,事業種別,顧客名,契約形態,募集人数,就業先名称,就業先住所,就業先備考,発注拠点数,発注人数,取引継続期間,売上見込額,利益率,特別事項,発注業務,発注業務詳細,対策内容,請求単価①,請求単位①,利益率①,請求情報①備考,請求単価②,請求単位②,利益率②,請求情報②備考,請求単価③,請求単位③,利益率③,請求情報③備考,雇用保険加入,社会保険加入,支払単価①,支払単位①,交通費①,交通費支払単位①,支払情報①備考,雇用保険加入②,社会保険加入②,支払単価②,支払単位②,交通費②,交通費支払単位②,支払情報②備考,雇用保険加入③,社会保険加入③,支払単価③,支払単位③,交通費③,交通費支払単位③,支払情報③備考,予定期間,終了予定日,期間備考,休日[月],休日[火],休日[水],休日[木],休日[金],休日[土],休日[日],休日[祝],休日[シフト],長期休暇[ゴールデンウィーク],長期休暇[年末年始],長期休暇[お盆休み],休日備考,勤務時間①,実働時間①,休憩時間①,残業(時間/月),勤務時間備考,勤務時間②,実働時間②,休憩時間②,勤務時間③,実働時間③,休憩時間③,最寄り駅,駅からの所要時間,最寄りバス停,バス停からの所要時間,車通勤（可能）,交通通勤備考,駐車場,作成ステータス,求人取り下げの理由,求人掲載サイト,起算日,資格要件,資格名,経験要件,経験内容,性別要件,年齢要件,制服支給の有無,支給物,自身で準備するもの,服装,その他髪色,職場の雰囲気・備考,男女比,年齢比率,紹介後,直接雇用切替時期,月収例（下限）,月収例（上限）,年収例（下限）,年収例（上限）,昇給・賞与等・待遇,休日・休暇,その他
森山 仁尚,PA,pa-1237,本社 営業企画部,民間事業,仙台銘板,人材紹介,1,株式会社仙台銘板（法人営業）,福岡県京都郡苅田町鳥越町1-42,,,,,,,,法人営業,"工事現場やイベントで使用する看板やガードフェンス、コーン・バーなどを販売、レンタルする会社です。
入社3年くらいは既存先対応をお願いしその後、新規営業も徐々にお願いします。

＜業務内容＞
①既存先にお電話や出向き工事状況の確認を行い発注がないか伺う。
②社内にて発注内容の御見積書作成や請求内容の確認。請求発行は事務員が対応。
　※新規営業は営業所近隣で工事や野外イベントを主催する会社にアポを取り訪問し、
　　工事やイベントで使用する看等の保安用品の受注確認をしていただきます。
　　その他の業務は既存先対応を同様となります。
　※営業車はミニバン・ライトバン・ワンボックスカーを使用。
　※運転免許はAT限定不可（実際はMTの運転は殆どありません。）

営業未経験者や業界未経験者でも対応できるよう研修に力を入れており、年数回の合同研修のほか
入社3ヵ月程度は不安にならないようOJTで教育を行い長い目で育成してくれる会社です。",,,,0,,,,,,,,,,有,有,0,月給,0,月額,,,,,,,,,,,,,,,,長期,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,8：45～17：45	,8,1時間,10-20,,,,,,,,,,,,可,,あり（無料）,新規作成,,,2023/05/01,必須,運転免許（AT限定不可）	,不問,,不問,37歳くらいまで,あり（自己負担無し）,ブルゾン（作業着）,ワイシャツ・ネクタイ・スラックス革靴（女性もパンツ）,,,"工事やイベントで使用する看板やコーン・バーを販売、レンタルしている業界大手で法人営業をお願いしします。
まったく未経験者でもやる気のある方であれば研修制度も整っているためとても働きやすい職場です。
残業は『1日1時間まで』になるよう全社で動いており月10～20時間程度です。離職率も13％と業界内で低い水準のため
長く働ける会社です。
職場は20代・30代の方が殆どで活気があります。
営業の方は体育会系タイプや文系タイプの方もいて『自分は大丈夫？』と心配することはありません。
自分と同じタイプの方がいて安心して働けます。

※お仕事の評価を正しく受けることができます。
※業績次第ですがボーナスが年4回あります。
※転勤可能、できない問わず採用できます。
　転勤可能者が家庭の都合によりできなくなっても継続して働けます。
　転勤した場合は家賃手当がでます。（金額は地域により異なりますが結構出るようです。）

＜面接＞
①キャリアシートをメール送信　→　書類選考
②北九州（苅田）営業所で面接もしくはweb面接　→　合格したらSPIを受ける。
③営業所にて役員による最終面接　※状況により他営業所の採用になることもある。

営業情報
　※紹介手数料は年収の20～30％（80～120万円）
　　紹介する際に弊社から希望パーセンテージをお見積書で連絡。

https://www.s-meiban.com/

参考：https://tenshoku.mynavi.jp/jobinfo-252435-2-22-1?referencenumber=252435-2-22-1-28&stb_uid=412761ea-f05c-11ec-8564-cf0a935bee85",,,正社員,,"¥246,630","¥260,510","¥3,946,080","¥4,168,160",賞与：年2回（計4.0ヵ月前年度実績）昇給：月500円～3000円,土日祝（年間125日間）,働くなかでやる気のある方は30代前半でも所長になることもできます。年収1000万超えもあり得ます。
森山 仁尚,HC,hc-0464,本社 営業企画部,民間事業,仙台銘板,一般派遣,1,株式会社仙台銘板（総合管理）,福岡県京都郡苅田町鳥越町1-42,,,,,,,,倉庫内作業,"工事現場やイベントで使用する看板やガードフェンス、コーン・バーなどを販売、レンタルする会社です。
倉庫内で商品の検品、入出庫作業やフォークリフト（カウンター）を使用し運搬作業をお願いします。

＜業務内容＞
【払出し】
・上記商品を出庫伝票を見て必要個数をパレットに置く。
・全商品が破損していないかチェックする。
・お客様が引き取りに来たらフォークリフトもしくは手積みする。

【返却】
・お客様の車から商品をフォークリフトもしくは手下しをする。
・全商品の数量と破損チェックする。
・各商品を所定の置場に戻す。
",喫煙室あり(屋外),2000,時給,17,※請求時給①～③は紹介するスタッフの年齢やスキルによる。（紹介時キャリアシートと一緒にお値段を交渉）,2100,時給,19,※請求時給①～③は紹介するスタッフの年齢やスキルによる。（紹介時キャリアシートと一緒にお値段を交渉）,2200,時給,19,※請求時給①～③は紹介するスタッフの年齢やスキルによる。（紹介時キャリアシートと一緒にお値段を交渉）,有,有,1350,時給,5000,月額,支払時給①～③はご紹介するスタッフの年齢やスキルによる。,有,有,1400,時給,5000,月額,支払時給①～③はご紹介するスタッフの年齢やスキルによる。,有,有,1450,時給,5000,月額,支払時給①～③はご紹介するスタッフの年齢やスキルによる。,長期,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,8：45～17：45	,8,1時間,10-20時間,,,,,,,,,,,,可,,あり（無料）,新規作成,,,2023/05/01,必須,フォークリフト,,,不問,50歳,あり（自己負担無し）,作業服上下・ヘルメット,スニーカータイプの安全靴,,,"工事・イベントで使用する看板やコーン・バーを販売、レンタルしている会社での就業です。
入職6ヵ月以降に安全靴の買換えが必要になった際は派遣先から支給していただけます。
※将来派遣先で正社員を希望される方は、派遣先での評価いただければ正社員登用もあります。（30代まで）

※請求金額は紹介する方の年齢やヒューマンスキル、経験によりことなります。

",,,,,,,,,,,
森山 仁尚,HC,hc-0045,本社 営業企画部,民間事業,戸畑鉄工,一般派遣,2,戸畑鉄工株式会社/鋳物工場作業,福岡県北九州市小倉南区新曽根9-20,,,,,,,,大型鋳物製造業務,"①～④のどこかの工程を担当

▼全体の流れ
①砂型（砂で作った型枠）を作る
②鉄を溶かして砂型に流し込む（流し込む際は社員がクレーンを使って作業をするため、
　溶けた鉄が入った容器が傾きすぎたりしないようにサポートする。複数名で作業）
③熱が冷めたら砂型を除けて製品を取り出す
（社員がクレーンで作業。クレーンで持ち上げている間に製品についた砂を叩くようにして綺麗に落としていく）
④完成した製品の周りについているバリを専用の機械で取り除く",喫煙室あり(屋外),1800,時給,28,,,,,,,,,,有,有,1180,時給,5000,月額,入職時健康診断を受診あり。3ヶ月以内に退職したら、最終給与から健康診断受診料を全額控除します。,,,,,,,,,,,,,,,長期,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,8：25～17：00,7時間35分,1時間,10時間程度,,,,,,,,,,,,可,バイク、自転車通勤も可,あり（無料）,再発注,,,2023/05/01,不問,,歓迎,土方・力作業経験,男性,55歳まで,あり（自己負担無し）,作業服・作業帽,男性のみの職場です。派遣スタッフも多く活躍しています。,,,,,,,,,,,,,,
森山 仁尚,HC,hc-0463,本社 営業企画部,民間事業,鶴丸,一般派遣,1,鶴丸株式会社　若松営業所(事務）,福岡県北九州市若松区響町1丁目102番2号,,,,,,,,物流会社での事務業務,"＜業務内容＞
・電話応対
・建材の受け入れ入力（専用ソフト）
・納品書作成（専用ソフト）
・請求書作成
・その他事務業務
・トラックの配車後のデータ入力
※エクセル・ワードは基本操作できる程度",喫煙室あり(屋外),1900,時給,19,,,,,,,,,,有,有,1250,時給,5000,月額,,,,,,,,,,,,,,,,長期,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,月5時間程度（月末・月初に発生）,,,,,,,,,,,,可,,あり（無料）,新規作成,,,2023/05/01,不問,,歓迎,事務経験、エクセル・ワード基本操作,不問,35歳まで,あり（自己負担無し）,,,オフィスカジュアル,,"若松営業所には事務が2名おり、今回は1名増員となります。
敷地ないに倉庫があり、鶴丸の大型トラックも出入りし活気のある職場です。",,,,,,,,,,,
森山 仁尚,PA,pa-1075,本社 営業企画部,民間事業,九州スーパーハウス,一般派遣,1,株式会社九州スーパーハウス/CAD,福岡県宮若市鶴田1058-1,,,,,,,,CADオペレータ業務,"""プレハブ・ユニットハウスの製造に伴うCADオペレータ業務
基本のプレハブハウスの設計やオプションでエアコン、簡易キッチンなどを付けるときなど
CAD（JW）を使用し図面を作成していただきます。

※経験の浅い方（ポリテク6ヶ月間の修了者）も可",喫煙室あり(屋外),1900,時給,18,,,,,,,,,,有,有,1320,時給,5000,月額,,,,,,,,,,,,,,,,長期,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,土曜は月2日程度（会社カレンダーによる）,8：30～17：30,7.5時間,1.5時間,なし,,,,,,,,,,,,可,,あり（無料）,再発注,,,2023/05/01,不問,,歓迎,CAD経験者歓迎（建築系）,不問,なし,あり（自己負担無し）,作業服上下,スニーカータイプの安全靴,,,,,,,,,,,,,,
森山 仁尚,PA,pa-1073,本社 営業企画部,民間事業,九州スーパーハウス,一般派遣,1,株式会社九州スーパーハウス/溶接,福岡県宮若市鶴田1058-1,,,,,,,,溶接作業,"""プレハブ・ユニットハウスの製造に伴う溶接作業
骨組みの鉄部分を溶接し接続する作業です。

※経験者のみのご紹介となりますが、作業自体は同じ型のプレハブの骨組み溶接となりますので単純作業となります。",喫煙室あり(屋外),1900,時給,18,,,,,,,,,,有,有,1320,時給,5000,月額,,,,,,,,,,,,,,,,長期,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,土曜は月2日程度（会社カレンダーによる）,"8：00～17：00	",７時間,2時間,なし,,,,,,,,,,,,可,,あり（無料）,再発注,,,2023/05/01,必須,溶接,必須,アーク溶接,男性,なし,あり（自己負担無し）,作業服上下,スニーカータイプの安全靴,,,"男性が活躍してる職場です。
業務分担をしていますので溶接する場所は決まってくるため多少の溶接経験があれば活躍できます。",,,,,,,,,,,
森山 仁尚,HC,oitat-0030,本社 営業企画部,民間事業,ネオマルス,一般派遣,3,【広域大分】株式会社ネオマルス,大分県大分市都町2-1-10,,,,,,,,案件調整業務,"①案件調整：2～3名
　　≪業務内容≫
　　電気通信工事(一般法人案件)にかかる、事務作業・電話対応
　　　・クライアント様から、電話やメールで受注受領
　　　・受注された案件の稼働調整を協力会社へ依頼
　　　・稼働に必要な情報を協力会社へ展開
　　　※お取引先との電話、メール、弊社事務所代表電話の応答等の対応あり
　　
　②案件精算業務：2名
　　≪業務内容≫
　　電気通信工事(一般法人案件)にかかる、費用精算作業・電話対応
　　　・クライアント様およびパートナー様の費用精算
　　　・専用システムへの入力作業
　　　※お取引先との電話、メール、弊社事務所代表電話の応答等の対応あり

　③案件報告書精査：2名
　　電気通信工事(一般法人案件)にかかる、事務作業・電話対応
　　　・稼働後の工事報告書を協力会社から回収
　　　・内容精査し、クライアントへ納品
　　　※お取引先との電話、メール、弊社事務所代表電話の応答等の対応あり",喫煙室あり(屋外),1600,時給,19,,,,,,,,,,有,有,1120,時給,,,,,,,,,,,,,,,,,,長期,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,9：00-18：00,8時間,1時間,なし,,,,,,,,大分駅,徒歩5分,,,不可,,なし,新規作成,,,2023/05/01,不問,,不問,,不問,30代まで,なし,,,オフィスカジュアル,,,,,,,,,,,,,
森山 仁尚,HC,hc-0377,本社 営業企画部,民間事業,鶴丸海運,一般派遣,2,鶴丸株式会社　若松営業所/住宅用小物ピッキング,北九州市若松区響町1丁目1-2,,,,,,,,住宅用小物部品のピッキング作業,"住宅建設時に使用するネジやボルト等小物部品を出庫伝票を見ながらピッキングし
箱に梱包する作業です。
男性でも可能ですがこの部署は8割は女性が就業しています。",喫煙室あり(屋外),1600,時給,16,,,,,,,,,,有,有,1100,時給,5000,月額,,,,,,,,,,,,,,,,長期,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,土曜は第一、第三がお休みです。,10：00～19：00,8時間,1時間,月20～30時間程度,,,,,,,,,,,,可,,,再発注,,,2023/05/01,不問,,不問,,不問,50歳まで,あり（自己負担無し）,作業服上下、作業帽,スニーカータイプの安全靴,,,小物部品は女性が活躍していて正社員、派遣合わせ40名くらいの職場です。,,,,,,,,,,,
森山 仁尚,HC,hc-0382,本社 営業企画部,民間事業,鶴丸海運,一般派遣,1,鶴丸株式会社　若松営業所/フォークリフト,北九州市若松区響町1丁目1-2,,,,,,,,フォークリフトにて戸建て外壁材の運搬作業,"工場で製造した外壁ボードをフォークリフト（カウンター：座って乗るタイプ）を使用しストック置場まで運搬したり、ストック置場から仕分け作業場まで運搬し仕分けした製品を出荷口まで運搬、仕分けして残った製品をもう一度ストック置場まで移動します。

外壁ボードは幅90cm×長さ3ｍくらいの細長いもので一束12枚（高さ60ｃｍ）の束にして運搬。
ボードの角を壁などにぶつけると破損し、出荷できなくなるため運搬中は気をつけなければなりません。

※倉庫内のフォークリフト通路は広いので運搬し易いのですが、仕分け作業場には人がいたり物が多少置いてあるため角をぶつけたり、仕分けする場所に置くときも丁寧に置かないと製品が割れることもあるのでその時だけは要注意でお願いします。",喫煙室あり(屋外),1700,時給,16,,,,,,,,,,有,有,1150,時給,5000,月額,,,,,,,,,,,,,,,,長期,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,土曜は第一、第三がお休みです。,8：00-17：00,8時間,1時間,月20～45時間程度,,,,,,,,,,,,可,,,再発注,,,2023/05/01,不問,,不問,,不問,50歳まで,あり（自己負担無し）,作業服上下、作業帽,スニーカータイプの安全靴,,,女性も活躍中,,,,,,,,,,,
森山 仁尚,HC,hc-0172,本社 営業企画部,民間事業,鶴丸海運,一般派遣,1,鶴丸株式会社　若松営業所/外壁材ピッキング,北九州市若松区響町1丁目1-2,,,,,,,,戸建ての外壁材のピッキング作業,"工場で生産した外壁ボードを出荷枚数分をピッキングする作業です。

【作業方法】
2名体制で、幅60cm×長さ３m程度のボードの両端をそれぞれ持ち、
3～5枚単位で横に移動させ出荷数分を抜き取る。
（ボードの中央には大きな吸盤で持ち上げるため重量的には重くありません）
この作業の繰り返しです。

【その他】
出荷するボードの束に、物流用のサランラップのようなものでラッピングする。
数名でこの作業を交替で行います。",喫煙室あり(屋外),1600,時給,16,,,,,,,,,,有,有,1100,時給,5000,月額,,,,,,,,,,,,,,,,長期,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,土曜は第一、第三がお休みです。,8：00-17：00,8時間,1時間,月20～30時間程度,,,,,,,,,,,,可,,,再発注,,,2023/05/01,不問,,不問,,男性,なし,あり（自己負担無し）,作業服上下、作業帽,スニーカータイプの安全靴,,,小物部品は女性が活躍していて正社員、派遣合わせ40名くらいの職場です。,,,,,,,,,,,
